Step: 4043 | Episode 100 | Return: 0.0 | Elapsed: 0.18 min
Step: 7753 | Episode 200 | Return: 0.0 | Elapsed: 0.36 min
Step: 11791 | Episode 300 | Return: 0.0 | Elapsed: 0.56 min
Step: 15920 | Episode 400 | Return: 0.0 | Elapsed: 0.76 min
Step: 20009 | Episode 500 | Return: 0.0 | Elapsed: 0.95 min
Step: 24004 | Episode 600 | Return: 0.0 | Elapsed: 1.15 min
Step: 27999 | Episode 700 | Return: 0.0 | Elapsed: 1.36 min
Step: 32048 | Episode 800 | Return: 0.0 | Elapsed: 1.57 min
Step: 36111 | Episode 900 | Return: 0.0 | Elapsed: 1.77 min
Step: 40201 | Episode 1000 | Return: 0.0 | Elapsed: 1.96 min
Step: 44481 | Episode 1100 | Return: 0.0 | Elapsed: 2.17 min
Step: 48731 | Episode 1200 | Return: 0.0 | Elapsed: 2.39 min
Step: 52955 | Episode 1300 | Return: 0.0 | Elapsed: 2.61 min
Step: 57239 | Episode 1400 | Return: 0.0 | Elapsed: 2.83 min
Step: 61245 | Episode 1500 | Return: 0.0 | Elapsed: 3.06 min
Step: 65433 | Episode 1600 | Return: 0.0 | Elapsed: 3.27 min
Step: 69577 | Episode 1700 | Return: 0.0 | Elapsed: 3.48 min
Step: 73634 | Episode 1800 | Return: 0.0 | Elapsed: 3.68 min
Step: 77900 | Episode 1900 | Return: 0.0 | Elapsed: 3.89 min
Step: 82003 | Episode 2000 | Return: 0.0 | Elapsed: 4.25 min
Step: 86239 | Episode 2100 | Return: 0.0 | Elapsed: 4.81 min
Step: 90463 | Episode 2200 | Return: 0.0 | Elapsed: 5.40 min
Step: 94758 | Episode 2300 | Return: 0.0 | Elapsed: 5.94 min
Step: 99305 | Episode 2400 | Return: 0.0 | Elapsed: 6.57 min
Step: 103451 | Episode 2500 | Return: 0.0 | Elapsed: 7.14 min
Step: 108017 | Episode 2600 | Return: 0.0 | Elapsed: 7.75 min
Step: 112341 | Episode 2700 | Return: 0.0 | Elapsed: 8.33 min
Step: 116694 | Episode 2800 | Return: 0.0 | Elapsed: 8.90 min
Step: 120991 | Episode 2900 | Return: 0.0 | Elapsed: 9.45 min
