Step: 10000291 | Episode 1 | Return: 6.00 | Elapsed: 0.02 min
Step: 10000614 | Episode 2 | Return: 5.00 | Elapsed: 0.04 min
Step: 10000941 | Episode 3 | Return: 3.00 | Elapsed: 0.06 min
Step: 10001264 | Episode 4 | Return: 2.00 | Elapsed: 0.08 min
Step: 10001583 | Episode 5 | Return: 12.00 | Elapsed: 0.09 min
Step: 10001895 | Episode 6 | Return: 5.00 | Elapsed: 0.11 min
Step: 10002210 | Episode 7 | Return: 5.00 | Elapsed: 0.13 min
Step: 10002464 | Episode 8 | Return: 1.00 | Elapsed: 0.14 min
Step: 10002674 | Episode 9 | Return: 7.00 | Elapsed: 0.15 min
Step: 10002998 | Episode 10 | Return: 3.00 | Elapsed: 0.17 min
Step: 10003326 | Episode 11 | Return: 6.00 | Elapsed: 0.19 min
Step: 10003614 | Episode 12 | Return: 4.00 | Elapsed: 0.20 min
Step: 10003966 | Episode 13 | Return: 0.00 | Elapsed: 0.22 min
Step: 10004154 | Episode 14 | Return: 3.00 | Elapsed: 0.23 min
Step: 10004388 | Episode 15 | Return: 6.00 | Elapsed: 0.24 min
Step: 10004590 | Episode 16 | Return: 0.00 | Elapsed: 0.26 min
Step: 10004867 | Episode 17 | Return: 5.00 | Elapsed: 0.27 min
Step: 10005073 | Episode 18 | Return: 2.00 | Elapsed: 0.29 min
Step: 10005412 | Episode 19 | Return: 4.00 | Elapsed: 0.30 min
Step: 10005741 | Episode 20 | Return: 6.00 | Elapsed: 0.32 min
Step: 10006071 | Episode 21 | Return: 7.00 | Elapsed: 0.34 min
Step: 10006323 | Episode 22 | Return: 6.00 | Elapsed: 0.35 min
Step: 10006720 | Episode 23 | Return: 5.00 | Elapsed: 0.37 min
Step: 10007022 | Episode 24 | Return: 1.00 | Elapsed: 0.39 min
Step: 10007220 | Episode 25 | Return: 3.00 | Elapsed: 0.40 min
Step: 10007483 | Episode 26 | Return: 7.00 | Elapsed: 0.41 min
Step: 10007707 | Episode 27 | Return: 5.00 | Elapsed: 0.42 min
Step: 10007952 | Episode 28 | Return: 5.00 | Elapsed: 0.44 min
Step: 10008286 | Episode 29 | Return: 0.00 | Elapsed: 0.45 min
Step: 10008506 | Episode 30 | Return: 0.00 | Elapsed: 0.46 min
Step: 10008748 | Episode 31 | Return: 0.00 | Elapsed: 0.48 min
Step: 10009002 | Episode 32 | Return: 3.00 | Elapsed: 0.49 min
Step: 10009287 | Episode 33 | Return: 5.00 | Elapsed: 0.50 min
Step: 10009668 | Episode 34 | Return: 0.00 | Elapsed: 0.52 min
Step: 10009878 | Episode 35 | Return: 0.00 | Elapsed: 0.54 min
Step: 10010058 | Episode 36 | Return: 0.00 | Elapsed: 0.55 min
Step: 10010326 | Episode 37 | Return: 2.00 | Elapsed: 0.56 min
Step: 10010582 | Episode 38 | Return: 0.00 | Elapsed: 0.58 min
Step: 10010852 | Episode 39 | Return: 7.00 | Elapsed: 0.59 min
Step: 10011094 | Episode 40 | Return: 5.00 | Elapsed: 0.60 min
Step: 10011366 | Episode 41 | Return: 2.00 | Elapsed: 0.62 min
Step: 10011517 | Episode 42 | Return: 6.00 | Elapsed: 0.62 min
Step: 10011856 | Episode 43 | Return: 3.00 | Elapsed: 0.64 min
Step: 10011921 | Episode 44 | Return: 0.00 | Elapsed: 0.64 min
Step: 10012275 | Episode 45 | Return: 7.00 | Elapsed: 0.66 min
Step: 10012464 | Episode 46 | Return: 0.00 | Elapsed: 0.67 min
Step: 10012736 | Episode 47 | Return: 6.00 | Elapsed: 0.69 min
Step: 10013094 | Episode 48 | Return: 6.00 | Elapsed: 0.71 min
Step: 10013419 | Episode 49 | Return: 3.00 | Elapsed: 0.72 min
Step: 10013657 | Episode 50 | Return: 0.00 | Elapsed: 0.74 min
Step: 10013934 | Episode 51 | Return: 8.00 | Elapsed: 0.75 min
Step: 10014151 | Episode 52 | Return: 4.00 | Elapsed: 0.76 min
Step: 10014454 | Episode 53 | Return: 2.00 | Elapsed: 0.78 min
Step: 10014714 | Episode 54 | Return: 0.00 | Elapsed: 0.79 min
Step: 10015015 | Episode 55 | Return: 3.00 | Elapsed: 0.81 min
Step: 10015279 | Episode 56 | Return: 4.00 | Elapsed: 0.82 min
Step: 10015512 | Episode 57 | Return: 2.00 | Elapsed: 0.83 min
Step: 10015748 | Episode 58 | Return: 4.00 | Elapsed: 0.85 min
Step: 10016105 | Episode 59 | Return: 3.00 | Elapsed: 0.87 min
Step: 10016416 | Episode 60 | Return: 7.00 | Elapsed: 0.88 min
Step: 10016714 | Episode 61 | Return: 8.00 | Elapsed: 0.90 min
Step: 10016948 | Episode 62 | Return: 2.00 | Elapsed: 0.91 min
Step: 10017245 | Episode 63 | Return: 4.00 | Elapsed: 0.93 min
Step: 10017579 | Episode 64 | Return: 0.00 | Elapsed: 0.94 min
Step: 10017857 | Episode 65 | Return: 0.00 | Elapsed: 0.96 min
Step: 10018171 | Episode 66 | Return: 3.00 | Elapsed: 0.98 min
Step: 10018474 | Episode 67 | Return: 4.00 | Elapsed: 1.00 min
Step: 10018841 | Episode 68 | Return: 4.00 | Elapsed: 1.01 min
Step: 10019248 | Episode 69 | Return: 8.00 | Elapsed: 1.04 min
Step: 10019450 | Episode 70 | Return: 0.00 | Elapsed: 1.05 min
Step: 10019783 | Episode 71 | Return: 5.00 | Elapsed: 1.07 min
Step: 10020092 | Episode 72 | Return: 4.00 | Elapsed: 1.08 min
Step: 10020460 | Episode 73 | Return: 3.00 | Elapsed: 1.11 min
Step: 10020632 | Episode 74 | Return: 5.00 | Elapsed: 1.12 min
Step: 10020921 | Episode 75 | Return: 8.00 | Elapsed: 1.14 min
Step: 10021215 | Episode 76 | Return: 0.00 | Elapsed: 1.16 min
Step: 10021395 | Episode 77 | Return: 3.00 | Elapsed: 1.17 min
Step: 10021661 | Episode 78 | Return: 2.00 | Elapsed: 1.18 min
