Step: 66 | Episode 1 | Return: 2.00 | Elapsed: 0.01 min
Step: 100 | Episode 2 | Return: 1.00 | Elapsed: 0.01 min
Step: 148 | Episode 3 | Return: 1.00 | Elapsed: 0.01 min
Step: 194 | Episode 4 | Return: 0.00 | Elapsed: 0.01 min
Step: 238 | Episode 5 | Return: 1.00 | Elapsed: 0.01 min
Step: 291 | Episode 6 | Return: 1.00 | Elapsed: 0.02 min
Step: 362 | Episode 7 | Return: 1.00 | Elapsed: 0.02 min
Step: 418 | Episode 8 | Return: 1.00 | Elapsed: 0.02 min
Step: 443 | Episode 9 | Return: 0.00 | Elapsed: 0.02 min
Step: 492 | Episode 10 | Return: 0.00 | Elapsed: 0.02 min
Step: 526 | Episode 11 | Return: 1.00 | Elapsed: 0.03 min
Step: 560 | Episode 12 | Return: 1.00 | Elapsed: 0.03 min
Step: 619 | Episode 13 | Return: 0.00 | Elapsed: 0.03 min
Step: 644 | Episode 14 | Return: 0.00 | Elapsed: 0.03 min
Step: 681 | Episode 15 | Return: 0.00 | Elapsed: 0.03 min
Step: 724 | Episode 16 | Return: 1.00 | Elapsed: 0.03 min
Step: 749 | Episode 17 | Return: 0.00 | Elapsed: 0.04 min
Step: 772 | Episode 18 | Return: 0.00 | Elapsed: 0.04 min
Step: 804 | Episode 19 | Return: 0.00 | Elapsed: 0.04 min
Step: 838 | Episode 20 | Return: 0.00 | Elapsed: 0.04 min
Step: 868 | Episode 21 | Return: 0.00 | Elapsed: 0.04 min
Step: 948 | Episode 22 | Return: 2.00 | Elapsed: 0.05 min
Step: 980 | Episode 23 | Return: 0.00 | Elapsed: 0.05 min
Step: 1043 | Episode 24 | Return: 0.00 | Elapsed: 0.05 min
Step: 1094 | Episode 25 | Return: 0.00 | Elapsed: 0.05 min
Step: 1140 | Episode 26 | Return: 1.00 | Elapsed: 0.05 min
Step: 1199 | Episode 27 | Return: 0.00 | Elapsed: 0.06 min
Step: 1222 | Episode 28 | Return: 0.00 | Elapsed: 0.06 min
Step: 1256 | Episode 29 | Return: 1.00 | Elapsed: 0.06 min
Step: 1290 | Episode 30 | Return: 1.00 | Elapsed: 0.06 min
Step: 1322 | Episode 31 | Return: 0.00 | Elapsed: 0.06 min
Step: 1366 | Episode 32 | Return: 0.00 | Elapsed: 0.06 min
Step: 1426 | Episode 33 | Return: 1.00 | Elapsed: 0.07 min
Step: 1462 | Episode 34 | Return: 0.00 | Elapsed: 0.07 min
Step: 1515 | Episode 35 | Return: 0.00 | Elapsed: 0.07 min
Step: 1556 | Episode 36 | Return: 0.00 | Elapsed: 0.07 min
Step: 1611 | Episode 37 | Return: 0.00 | Elapsed: 0.07 min
Step: 1641 | Episode 38 | Return: 0.00 | Elapsed: 0.08 min
Step: 1702 | Episode 39 | Return: 0.00 | Elapsed: 0.08 min
Step: 1734 | Episode 40 | Return: 0.00 | Elapsed: 0.08 min
Step: 1782 | Episode 41 | Return: 1.00 | Elapsed: 0.08 min
Step: 1807 | Episode 42 | Return: 0.00 | Elapsed: 0.08 min
Step: 1845 | Episode 43 | Return: 0.00 | Elapsed: 0.08 min
Step: 1891 | Episode 44 | Return: 0.00 | Elapsed: 0.09 min
Step: 1936 | Episode 45 | Return: 1.00 | Elapsed: 0.09 min
Step: 1978 | Episode 46 | Return: 0.00 | Elapsed: 0.09 min
Step: 2001 | Episode 47 | Return: 0.00 | Elapsed: 0.09 min
Step: 2064 | Episode 48 | Return: 1.00 | Elapsed: 0.09 min
Step: 2117 | Episode 49 | Return: 1.00 | Elapsed: 0.10 min
Step: 2173 | Episode 50 | Return: 0.00 | Elapsed: 0.10 min
Step: 2221 | Episode 51 | Return: 1.00 | Elapsed: 0.10 min
Step: 2242 | Episode 52 | Return: 0.00 | Elapsed: 0.10 min
Step: 2287 | Episode 53 | Return: 0.00 | Elapsed: 0.10 min
Step: 2338 | Episode 54 | Return: 0.00 | Elapsed: 0.11 min
Step: 2379 | Episode 55 | Return: 1.00 | Elapsed: 0.11 min
Step: 2414 | Episode 56 | Return: 1.00 | Elapsed: 0.11 min
Step: 2439 | Episode 57 | Return: 0.00 | Elapsed: 0.11 min
Step: 2473 | Episode 58 | Return: 0.00 | Elapsed: 0.11 min
Step: 2498 | Episode 59 | Return: 0.00 | Elapsed: 0.11 min
Step: 2539 | Episode 60 | Return: 0.00 | Elapsed: 0.12 min
Step: 2567 | Episode 61 | Return: 1.00 | Elapsed: 0.12 min
Step: 2595 | Episode 62 | Return: 0.00 | Elapsed: 0.12 min
